Titre	Artiste	Quebec		Année	Style
I Didn't Say I Was Powerful, I Said I Was a Wizard	Chiodos			2000s	Emo
The Flood	Escape the Fate			2000s	Emo
Reinventing Your Exit	Underoath			2000s	Emo
Little of Your Time	Maroon 5			2000s	Pop-Rock
Makes Me Wonder	Maroon 5			2000s	Pop-Rock
Wake Up Call	Maroon 5			2000s	Pop-Rock
Brother	Pearl Jam			2000s	Grunge
Alive (Live: Drop in the Park)	Pearl Jam			2000s	Grunge
State of Love and Trust (Live: Drop in the Park)	Pearl Jam			2000s	Grunge
Blue Morning, Blue Day	Foreigner			1970s	Classic Rock
Feels Like the First Time	Foreigner			1970s	Classic Rock
Headknocker	Foreigner			1970s	Classic Rock
Weapon of Choice	Black Rebel Motorcycle Club			2000s	Alternative
Sweet Talk	Dear and the Headlights			2000s	Indie Rock
Hey John, What's Your Name Again?	The Devil Wears Prada			2000s	Metal
Image of the Invisible	Thrice			2000s	Rock
21 Guns	Green Day			2000s	Rock
East Jesus Nowhere	Green Day			2000s	Rock
Know Your Enemy	Green Day			2000s	Rock
Conquer All	Behemoth			2000s	Metal
What a Horrible Night to Have a Curse	The Black Dahlia Murder			2000s	Metal
Hammer Smashed Face	Cannibal Corpse			1990s	Metal
Empire of the Gun	God Forbid			2000s	Metal
Embedded	Job for a Cowboy			2000s	Metal
Disposable Teens	Marilyn Manson			2000s	Glam
Black Magic	Slayer			1980s	Metal
This Is Exile	Whitechapel			2000s	Metal
All Going Out Together	Big Dipper			2000s	Indie Rock
She's Fetching	Big Dipper			2000s	Indie Rock
Younger Bums	Big Dipper			2000s	Indie Rock
Dissident Aggressor (Live)	Judas Priest			2000s	Metal
Eat Me Alive (Live)	Judas Priest			2000s	Metal
Prophecy (Live)	Judas Priest			2000s	Metal
Hang You from the Heavens	The Dead Weather			2000s	Alternative
No Hassle Night	The Dead Weather			2000s	Alternative
Treat Me Like Your Mother	The Dead Weather			2000s	Alternative
Crawl	Kings of Leon			2000s	Rock
Molly's Chambers	Kings of Leon			2000s	Rock
Sex on Fire	Kings of Leon			2000s	Rock
Last One to Die	Rancid			2000s	Punk
Ruby Soho	Rancid			1990s	Punk
Time Bomb	Rancid			1990s	Punk
Prayer of the Refugee	Rise Against			2000s	Punk
Re-Education (Through Labor)	Rise Against			2000s	Punk
Savior	Rise Against			2000s	Punk
Sweetness & Light	Lush			1990s	Alternative
Down	Blink-182			2000s	Punk
Feeling This	Blink-182			2000s	Punk
The Rock Show	Blink-182			2000s	Punk
100,000 Years (Live)	Kiss			1970s	Classic Rock
Deuce (Live)	Kiss			1970s	Classic Rock
Parasite (Live)	Kiss			1970s	Classic Rock
My Name Is Jonas	Weezer			1990s	Alternative
Pork and Beans	Weezer			2000s	Alternative
Undone - The Sweater Song	Weezer			1990s	Alternative
Out Here All Night	Damone			2000s	Rock
(Funky) Sex Farm	Spinal Tap			2000s	Metal
(Listen to the) Flower People (Reggae Stylee)	Spinal Tap			2000s	Metal
America	Spinal Tap			2000s	Metal
Big Bottom	Spinal Tap			2000s	Metal
Cups and Cakes	Spinal Tap			2000s	Metal
Gimme Some Money	Spinal Tap			2000s	Metal
Heavy Duty	Spinal Tap			2000s	Metal
Hell Hole	Spinal Tap			2000s	Metal
Rock 'n' Roll Creation	Spinal Tap			2000s	Metal
Stonehenge	Spinal Tap			2000s	Metal
Tonight I'm Gonna Rock You Tonight	Spinal Tap			2000s	Metal
Clint Eastwood	Gorillaz			2000s	Alternative
Feel Good Inc.	Gorillaz			2000s	Alternative
Re-Hash	Gorillaz			2000s	Alternative
Piece of My Heart	Janis Joplin			1970s	Classic Rock
Chest Fever (Live)	The Band			1970s	Classic Rock
White Rabbit	Jefferson Airplane			1960s	Classic Rock
Magic Bus (Live at Leeds)	The Who			1970s	Classic Rock
No Rain	Blind Melon			1990s	Alternative
There's No Other Way	Blur			1990s	Alternative
I'm Shipping Up to Boston	Dropkick Murphys			2000s	Punk
Inside Out	Eve 6			1990s	Alternative
I Predict a Riot	Kaiser Chiefs			2000s	Indie Rock
All My Life	Foo Fighters			2000s	Alternative
I'll Stick Around	Foo Fighters			1990s	Alternative
Lonely as You	Foo Fighters			2000s	Alternative
Mony Mony	Billy Idol			1980s	Rock
Rebel Yell	Billy Idol			1980s	Rock
Don't Stop	Fleetwood Mac			1970s	Classic Rock
World Turning	Fleetwood Mac			1970s	Classic Rock
She's a Genius	Jet			2000s	Alternative
I Won't Back Down	Tom Petty			1980s	Classic Rock
Runnin' Down a Dream	Tom Petty			1980s	Classic Rock
Bat Country	Avenged Sevenfold			2000s	Metal
Town Called Malice	The Jam			1980s	New Wave
Going Underground	The Jam			2000s	New Wave
Supersonic (Live)	Oasis			2000s	Rock
Guerrilla Radio	Rage Against the Machine			1990s	Alternative
And She Was	Talking Heads			1980s	New Wave
Crosseyed and Painless	Talking Heads			1980s	New Wave
Girlfriend Is Better	Talking Heads			1980s	New Wave
Once in a Lifetime	Talking Heads			1980s	New Wave
Take Me to the River	Talking Heads			1970s	New Wave
Get Ready 2 Rokk	Freezepop			2000s	Pop-Rock
Science Genius Girl	Freezepop			2000s	Pop-Rock
Re: Your Brains	Jonathan Coulton			2000s	Pop-Rock
Origin of Species	MC Frontalot			2000s	Other
Opening Band	Paul and Storm			2000s	Pop-Rock
Kryptonite	3 Doors Down			2000s	Rock
Miss Murder	AFI			2000s	Alternative
Gasoline	Audioslave			2000s	Rock
ABC	Jackson 5			1970s	Pop-Rock
666	Anvil			2000s	Metal
Metal on Metal	Anvil			2000s	Metal
This is Thirteen	Anvil			2000s	Metal
Pick Me Up	Dinosaur Jr.			2000s	Alternative
The Wagon	Dinosaur Jr.			1990s	Alternative
Hand Me Down World	The Guess Who			1970s	Classic Rock
No Time	The Guess Who			1970s	Classic Rock
Rock Your Socks	Tenacious D			2000s	Rock
Tribute	Tenacious D			2000s	Rock
Gonna See My Friend	Pearl Jam			2000s	Grunge
Got Some	Pearl Jam			2000s	Grunge
The Fixer	Pearl Jam			2000s	Grunge
Johnny Guitar	Pearl Jam			2000s	Grunge
Just Breathe	Pearl Jam			2000s	Grunge
Amongst the Waves	Pearl Jam			2000s	Grunge
Unthought Known	Pearl Jam			2000s	Grunge
Supersonic	Pearl Jam			2000s	Grunge
Speed of Sound	Pearl Jam			2000s	Grunge
Force of Nature	Pearl Jam			2000s	Grunge
The End	Pearl Jam			2000s	Grunge
A Looking in View	Alice in Chains			2000s	Grunge
Check My Brain	Alice in Chains			2000s	Grunge
No Excuses	Alice in Chains			1990s	Grunge
Rooster	Alice in Chains			1990s	Grunge
Would?	Alice in Chains			1990s	Grunge
I Will Not Bow	Breaking Benjamin			2000s	Nu-Metal
So Cold	Breaking Benjamin			2000s	Nu-Metal
The Diary of Jane	Breaking Benjamin			2000s	Nu-Metal
U Suck	Just Kait			2000s	Rock
Hey Dude	Kula Shaker			1990s	Alternative
Knight on the Town	Kula Shaker			1990s	Alternative
Many Shades of Black	The Raconteurs			2000s	Rock
Salute Your Solution	The Raconteurs			2000s	Rock
Steady, As She Goes	The Raconteurs			2000s	Rock
Dance Epidemic	Electric Six			2000s	Rock
Gay Bar	Electric Six			2000s	Rock
I Don't Like You	Electric Six			2000s	Rock
Head Over Feet	Alanis Morissette			1990s	Pop-Rock
Ironic	Alanis Morissette			1990s	Pop-Rock
Handlebars	Flobots			2000s	Alternative
(We Are) The Road Crew '08	Motörhead			2000s	Metal
The Metal	Tenacious D			2000s	Rock
More Than Meets the Eye	Testament			2000s	Metal
Show Me the Way	Black Tide			2000s	Metal
What's My Age Again?	Blink-182			1990s	Punk
Satch Boogie	Joe Satriani			1980s	Rock
Surfing with the Alien	Joe Satriani			1980s	Rock
Icarus - Borne on the Wings of Steel (Live)	Kansas			1970s	Prog
Point of Know Return (Live)	Kansas			1970s	Prog
Andres	L7			1990s	Grunge
Another One Bites the Dust	Queen			1980s	Classic Rock
Crazy Little Thing Called Love	Queen			1980s	Classic Rock
One Vision	Queen			1980s	Classic Rock
Fat Bottomed Girls	Queen			1970s	Classic Rock
I Want It All	Queen			1980s	Classic Rock
I Want to Break Free	Queen			1980s	Classic Rock
Killer Queen	Queen			1970s	Classic Rock
Somebody to Love	Queen			1970s	Classic Rock
Tie Your Mother Down	Queen			1970s	Classic Rock
Under Pressure	Queen			1980s	Classic Rock
Dragula	Rob Zombie			1990s	Nu-Metal
Burn	Rob Zombie			2000s	Nu-Metal
Superbeast	Rob Zombie			1990s	Nu-Metal
White Unicorn	Wolfmother			2000s	Rock
New Moon Rising	Wolfmother			2000s	Rock
Pilgrim	Wolfmother			2000s	Rock
Sundial	Wolfmother			2000s	Rock
Woman	Wolfmother			2000s	Rock
Rock Me	Liz Phair			2000s	Pop-Rock
Best of Me	Morningwood			2000s	Pop-Rock
Sugarbaby	Morningwood			2000s	Pop-Rock
Best of You	Foo Fighters			2000s	Alternative
The Pretender	Foo Fighters			2000s	Alternative
Wheels	Foo Fighters			2000s	Alternative
Word Forward	Foo Fighters			2000s	Alternative
About a Girl	Nirvana			1980s	Grunge
Blew	Nirvana			1980s	Grunge
School	Nirvana			1980s	Grunge
Fake Friends	Joan Jett & The Blackhearts			1980s	Punk
A Day Like This	SpongeBob SquarePants			2000s	Other
Employee of the Month	SpongeBob SquarePants			2000s	Other
Ridin' the Hook	SpongeBob SquarePants			2000s	Other
Dead Leaves and the Dirty Ground	The White Stripes			2000s	Rock
Girl, You Have No Faith in Medicine	The White Stripes			2000s	Rock
Icky Thump	The White Stripes			2000s	Rock
Smash It Up (Part II)	The Damned			1970s	Punk
Club Foot	Kasabian			2000s	Rock
Beautiful Thieves	AFI			2000s	Alternative
End Transmission	AFI			2000s	Alternative
Love Like Winter	AFI			2000s	Alternative
Medicate	AFI			2000s	Alternative
The Leaving Song Pt. II	AFI			2000s	Alternative
Walk Like An Egyptian	The Bangles			1980s	Rock
New Fang	Them Crooked Vultures			2000s	Rock
A Thing About You (Live)	Tom Petty and the Heartbreakers			2000s	Rock
American Girl (Live)	Tom Petty and the Heartbreakers			2000s	Rock
Even the Losers (Live)	Tom Petty and the Heartbreakers			2000s	Rock
Here Comes My Girl (Live)	Tom Petty and the Heartbreakers			2000s	Rock
Mary Jane's Last Dance (Live)	Tom Petty and the Heartbreakers			2000s	Rock
Refugee (Live)	Tom Petty and the Heartbreakers			2000s	Rock
Miss Independent	Kelly Clarkson			2000s	Pop-Rock
Who Knew	Pink			2000s	Pop-Rock
Our Lips Are Sealed	The Go-Go's			1980s	Pop-Rock
Come As You Are (Live from MTV Unplugged)	Nirvana			1990s	Grunge
Lithium (Live at Reading)	Nirvana			2000s	Grunge
Smells Like Teen Spirit	Nirvana			1990s	Grunge
(You Can Still) Rock in America	Night Ranger			2000s	Rock
Don't Tell Me You Love Me	Night Ranger			2000s	Rock
You're Gonna Hear It From Me	Night Ranger			2000s	Rock
Duality	Slipknot			2000s	Nu-Metal
Psychosocial	Slipknot			2000s	Nu-Metal
Sulfur	Slipknot			2000s	Nu-Metal
I Am a Rock	Simon & Garfunkel			1960s	Classic Rock
The Sounds of Silence	Simon & Garfunkel			1960s	Classic Rock
Dreaming of Love	Lights Resolve			2000s	Indie Rock
Christian's Inferno	Green Day			2000s	Rock
Last of the American Girls	Green Day			2000s	Rock
¡Viva la Gloria!	Green Day			2000s	Rock
Kings and Queens	30 Seconds to Mars			2000s	Emo
This Is War	30 Seconds to Mars			2000s	Emo
Gives You Hell	All-American Rejects			2000s	Emo
(If You're Wondering If I Want You To) I Want You To	Weezer			2000s	Rock
Beverly Hills	Weezer			2000s	Rock
Let It All Hang Out	Weezer			2000s	Rock
Build a Bridge	Limp Bizkit			2000s	Nu-Metal
A Lot Like Me	The Offspring			2000s	Rock
Ocean Avenue	Yellowcard			2000s	Emo
Any Man of Mine	Shania Twain			1990s	Country
Cry Lonely	Cross Canadian Ragweed			2000s	Country
Good Time	Alan Jackson			2000s	Country
I Told You So	Keith Urban			2000s	Country
She's Country	Jason Aldean			2000s	Country
The Gambler	Kenny Rogers			1970s	Country
This One's for the Girls	Martina McBride			2000s	Country
Band on the Run (Live)	Paul McCartney			2000s	Rock
Jet (Live)	Paul McCartney			2000s	Rock
Sing the Changes (Live)	Paul McCartney			2000s	Rock
Adam's Song	Blink-182			1990s	Punk
First Date	Blink-182			2000s	Punk
I Miss You	Blink-182			2000s	Punk
Love My Way	The Psychedelic Furs			1980s	New Wave
Sister Europe	The Psychedelic Furs			1980s	New Wave
Rock 'n' Roll High School	Ramones			2000s	Punk
Grind	Alice in Chains			1990s	Grunge
Heaven Beside You	Alice in Chains			1990s	Grunge
Last of My Kind	Alice in Chains			2000s	Grunge
We Die Young	Alice in Chains			1990s	Grunge
Your Decision	Alice in Chains			2000s	Grunge
A Woman in Love (It's Not Me) (Live)	Tom Petty and the Heartbreakers			2000s	Rock
Breakdown (Live)	Tom Petty and the Heartbreakers			2000s	Rock
Century City (Live)	Tom Petty and the Heartbreakers			2000s	Rock
Jammin' Me (Live)	Tom Petty and the Heartbreakers			2000s	Rock
Nightwatchman (Live)	Tom Petty and the Heartbreakers			2000s	Rock
The Waiting (Live)	Tom Petty and the Heartbreakers			2000s	Rock
1901	Phoenix			2000s	Alternative
Lisztomania	Phoenix			2000s	Alternative
Blue Jeans	Silvertide			2000s	Rock
Bulls on Parade	Rage Against the Machine			1990s	Alternative
Hair of the Dog	Nazareth			1970s	Rock
Killed by Death '08	Motörhead			2000s	Metal
Levitate	I Mother Earth			1990s	Alternative
Master of the Universe	Hawkwind			1970s	Rock
Transmaniacon MC	Blue Öyster Cult			1970s	Classic Rock
Godzilla	Blue Öyster Cult			1970s	Classic Rock
Gone	Montgomery Gentry			2000s	Country
Me and My Gang	Rascal Flatts			2000s	Country
On the Road Again	Willie Nelson			1980s	Country
She Thinks My Tractor's Sexy	Kenny Chesney			1990s	Country
Swing	Trace Adkins			2000s	Country
Suds in the Bucket	Sara Evans			2000s	Country
The Who Super Bowl S-mashup	The Who			2010s	Classic Rock
Holy Wars... The Punishment Due	Megadeth			1990s	Metal
Hangar 18	Megadeth			1990s	Metal
Take No Prisoners	Megadeth			1990s	Metal
Five Magics	Megadeth			1990s	Metal
Poison Was the Cure	Megadeth			1990s	Metal
Lucretia	Megadeth			1990s	Metal
Tornado of Souls	Megadeth			1990s	Metal
Dawn Patrol	Megadeth			1990s	Metal
Rust In Peace... Polaris	Megadeth			1990s	Metal
(Sittin' on the) Dock of the Bay (Take 2)	Otis Redding			1990s	Other
Fa-Fa-Fa-Fa-Fa (Sad Song)	Otis Redding			1960s	Other
I'm Sick Y'all	Otis Redding			1960s	Other
I've Got Dreams to Remember	Otis Redding			1990s	Other
Love Man	Otis Redding			1960s	Other
Weightless	All Time Low			2000s	Pop-Rock
Fascination	Alphabeat			2000s	Pop-Rock
Stray Cat Strut	Brian Setzer			1980s	Jazz
Let Forever Be	The Chemical Brothers			1990s	Other
Heartkiller	HIM			2010s	Alternative
Ode to Solitude	HIM			2010s	Alternative
Wings of a Butterfly	HIM			2000s	Alternative
Distracted	KSM			2000s	Pop-Rock
The Dope Show	Marilyn Manson			1990s	Alternative
Just for Tonight	One Night Only			2000s	Pop-Rock
Walking on the Moon	The Police			1970s	Pop-Rock
Meaning of Life	Disturbed			2000s	Nu-Metal
The Game	Disturbed			2000s	Nu-Metal
Voices	Disturbed			2000s	Nu-Metal
Third Floor Story	The Mother Hips			2000s	Rock
White Falcon Fuzz	The Mother Hips			2000s	Rock
Panic Switch	Silversun Pickups			2000s	Indie Rock
Sort Of	Silversun Pickups			2000s	Indie Rock
Downfall	TRUSTCompany			2000s	Nu-Metal
Decent Days and Nights	The Futureheads			2000s	Punk
Hounds of Love	The Futureheads			2000s	Punk
Walk Away	The James Gang			1970s	Rock
The Hockey Theme	Neil Peart			2000s	Other
All of This	Shaimus			2000s	Indie Rock
Tie You Down	Shaimus			2000s	Indie Rock
Fell in Love with a Girl	The White Stripes			2000s	Rock
Seven Nation Army	The White Stripes			2000s	Rock
You Don't Know What Love Is (You Just Do as You're Told)	The White Stripes			2000s	Rock
Bad Romance	Lady Gaga			2000s	Pop-Rock
Monster	Lady Gaga			2000s	Pop-Rock
Poker Face	Lady Gaga			2000s	Pop-Rock
Just Dance	Lady Gaga			2000s	Pop-Rock
Lady Gaga's Poker Face (South Park Version)	Eric Cartman			2000s	Novelty
It's Not My Time	3 Doors Down			2000s	Rock
Control	Mute Math			2000s	Alternative
Oh Yeah	The Subways			2000s	Alternative
Rock & Roll Queen	The Subways			2000s	Alternative
Blue Spark	X			1980s	Punk
The Hungry Wolf	X			1980s	Punk
I Must Not Think Bad Thoughts	X			1980s	Punk
Los Angeles	X			1980s	Punk
Am I Crazy	Little Fish			2010s	Indie Rock
Bang Bang	Little Fish			2010s	Indie Rock
Darling Dear	Little Fish			2010s	Indie Rock
Outer Space	Ace Frehley			2000s	Metal
All-American Girl	Carrie Underwood			2000s	Country
Stop & Stare	OneRepublic			2000s	Pop-Rock
Up From the Skies	The Jimi Hendrix Experience			1960s	Classic Rock
Spanish Castle Magic	The Jimi Hendrix Experience			1960s	Classic Rock
Wait Until Tomorrow	The Jimi Hendrix Experience			1960s	Classic Rock
Ain't No Telling	The Jimi Hendrix Experience			1960s	Classic Rock
Little Wing	The Jimi Hendrix Experience			1960s	Classic Rock
If 6 Was 9	The Jimi Hendrix Experience			1960s	Classic Rock
You Got Me Floatin'	The Jimi Hendrix Experience			1960s	Classic Rock
Castles Made of Sand	The Jimi Hendrix Experience			1960s	Classic Rock
She's So Fine	The Jimi Hendrix Experience			1960s	Classic Rock
One Rainy Wish	The Jimi Hendrix Experience			1960s	Classic Rock
Little Miss Lover	The Jimi Hendrix Experience			1960s	Classic Rock
Bold as Love	The Jimi Hendrix Experience			1960s	Classic Rock
Valleys of Neptune	Jimi Hendrix			2010s	Classic Rock
Feel Good Drag	Anberlin			2000s	Alternative
Live Life Loud	Hawk Nelson			2000s	Pop-Rock
Monster	Skillet			2000s	Rock
Stand in the Rain	Superchick			2000s	Pop-Rock
Meant to Live	Switchfoot			2000s	Alternative
Fire It Up	Thousand Foot Krutch			2000s	Nu-Metal
Empty Walls	Serj Tankian			2000s	Rock
Sky Is Over	Serj Tankian			2000s	Rock
All-Star	Smash Mouth			1990s	Pop-Rock
Blood on My Hands	The Used			2000s	Emo
Born to Quit	The Used			2000s	Emo
The Taste of Ink	The Used			2000s	Emo
Guns of Summer	Coheed and Cambria			2010s	Progressive
Here We Are Juggernaut	Coheed and Cambria			2010s	Progressive
The Broken	Coheed and Cambria			2010s	Progressive
Peek-a-Boo	Siouxsie and The Banshees			1980s	Pop-Rock
Sun Hits the Sky	Supergrass			1990s	Alternative
American Music	Violent Femmes			1990s	Alternative
Again	Flyleaf			2000s	Alternative
Tomorrow	Silverchair			1990s	Alternative
Thunderbirds Are Go!	Busted			2000s	Pop-Rock
Different People	No Doubt			1990s	Pop-Rock
End It on This	No Doubt			1990s	Pop-Rock
Happy Now?	No Doubt			1990s	Pop-Rock
Hey You	No Doubt			1990s	Pop-Rock
Sixteen	No Doubt			1990s	Pop-Rock
The Climb	No Doubt			1990s	Pop-Rock
Tragic Kingdom	No Doubt			1990s	Pop-Rock
World Go 'Round	No Doubt			1990s	Pop-Rock
You Can Do It	No Doubt			1990s	Pop-Rock
According to You	Orianthi			2000s	Pop-Rock
Dearest (I'm So Sorry)	Picture Me Broken			2010s	Metal
Breaking the Law (Live)	Judas Priest			2010s	Metal
Rapid Fire (Live)	Judas Priest			2010s	Metal
Metal Gods (Live)	Judas Priest			2010s	Metal
Grinder (Live)	Judas Priest			2010s	Metal
United (Live)	Judas Priest			2010s	Metal
Living After Midnight (Live)	Judas Priest			2010s	Metal
You Don't Have to Be Old to Be Wise (Live)	Judas Priest			2010s	Metal
The Rage (Live)	Judas Priest			2010s	Metal
Steeler (Live)	Judas Priest			2010s	Metal
Beat It on Down the Line	Grateful Dead			1960s	Classic Rock
Cumberland Blues	Grateful Dead			1970s	Classic Rock
Scarlet Begonias	Grateful Dead			1970s	Classic Rock
Throwing Stones	Grateful Dead			1980s	Classic Rock
Touch of Grey	Grateful Dead			1980s	Classic Rock
U.S. Blues	Grateful Dead			1970s	Classic Rock
A Girl Like You	The Smithereens			1980s	Rock
Only a Memory	The Smithereens			1980s	Rock
The Great Southern Trendkill	Pantera			1990s	Metal
War Nerve	Pantera			1990s	Metal
Drag the Waters	Pantera			1990s	Metal
10s	Pantera			1990s	Metal
13 Steps to Nowhere	Pantera			1990s	Metal
Suicide Note Pt. II	Pantera			1990s	Metal
Living Through Me (Hell's Wrath)	Pantera			1990s	Metal
Floods	Pantera			1990s	Metal
The Underground in America	Pantera			1990s	Metal
(Reprise) Sandblasted Skin	Pantera			1990s	Metal
Alive	P.O.D.			2000s	Nu-Metal
Trouble Comes Running	Spoon			2010s	Indie Rock
Don't You Evah	Spoon			2000s	Indie Rock
I Turn My Camera On	Spoon			2000s	Indie Rock
Got Nuffin	Spoon			2010s	Indie Rock
Cherry Waves	Deftones			2000s	Rock
Hole in the Earth	Deftones			2000s	Rock
Minerva	Deftones			2000s	Rock
The Great Escape	Boys Like Girls			2000s	Emo
Rock Ready	Crown of Thorns			2000s	Rock
Crazy Babies	Ozzy Osbourne			1980s	Metal
Diggin' Me Down	Ozzy Osbourne			2010s	Metal
I Don't Wanna Stop	Ozzy Osbourne			2000s	Metal
Let Me Hear You Scream	Ozzy Osbourne			2010s	Metal
No More Tears	Ozzy Osbourne			1990s	Metal
Soul Sucker	Ozzy Osbourne			2010s	Metal
Can't Be Tamed	Miley Cyrus			2010s	Pop-Rock
7 Things	Miley Cyrus			2000s	Pop-Rock
Fly on the Wall	Miley Cyrus			2000s	Pop-Rock
See You Again	Miley Cyrus			2000s	Pop-Rock
Start All Over	Miley Cyrus			2000s	Pop-Rock
Burn It to the Ground	Nickelback			2000s	Rock
Figured You Out	Nickelback			2000s	Rock
Never Again	Nickelback			2000s	Rock
Photograph	Nickelback			2000s	Rock
Rockstar	Nickelback			2000s	Rock
This Afternoon	Nickelback			2000s	Rock
Bad Moon Rising	Creedence Clearwater Revival			1960s	Southern Rock
Born on the Bayou	Creedence Clearwater Revival			1960s	Southern Rock
Down on the Corner	Creedence Clearwater Revival			1960s	Southern Rock
Fortunate Son (Original Version)	Creedence Clearwater Revival			1960s	Southern Rock
Green River	Creedence Clearwater Revival			1960s	Southern Rock
I Heard It Through the Grapevine	Creedence Clearwater Revival			1970s	Southern Rock
Lookin' out My Back Door	Creedence Clearwater Revival			1970s	Southern Rock
Proud Mary	Creedence Clearwater Revival			1970s	Southern Rock
Run Through the Jungle	Creedence Clearwater Revival			1970s	Southern Rock
Travelin' Band	Creedence Clearwater Revival			1970s	Southern Rock
Up Around the Bend	Creedence Clearwater Revival			1970s	Southern Rock
Who'll Stop the Rain	Creedence Clearwater Revival			1970s	Southern Rock
Get Out	The Vines			2000s	Rock
He's a Rocker	The Vines			2000s	Rock
Orange Amber	The Vines			2000s	Rock
Outtathaway	The Vines			2000s	Rock
Ride	The Vines			2000s	Rock
Future Perfect Tense	Sweet Billy Pilgrim			2000s	Indie Rock
New Dark Ages	Bad Religion			2000s	Punk
No Control	Bad Religion			1980s	Punk
1969	The Stooges			1960s	Rock
I Wanna Be Your Dog	The Stooges			1960s	Rock
No Fun	The Stooges			1960s	Rock
A Dios le Pido	Juanes			2000s	Pop-Rock
Fíjate Bien	Juanes			2000s	Pop-Rock
Gotas de Agua Dulce	Juanes			2000s	Pop-Rock
La Camisa Negra	Juanes			2000s	Pop-Rock
Mala Gente	Juanes			2000s	Pop-Rock
Yerbatero	Juanes			2010s	Pop-Rock
Nightmare	Avenged Sevenfold			2010s	Metal
Seize the Day	Avenged Sevenfold			2000s	Metal
Scream	Avenged Sevenfold			2000s	Metal
Rapture	Blondie			1980s	New Wave
Jesus Freak	DC Talk			1990s	Alternative
The Perfect Crime # 2	The Decemberists			2000s	Indie Rock
I Only Want You	Eagles of Death Metal			2000s	Rock
Saturday Morning	Eels			2000s	Indie Rock
Love Addict	Family Force 5			2000s	Rock
Sturm & Drang	KMFDM			2000s	Metal
Bulletproof	La Roux			2000s	Pop-Rock
Jesus Built My Hotrod	Ministry			1990s	Metal
Stigmata	Ministry			1980s	Metal
Thieves	Ministry			1980s	Metal
Strange Times	The Black Keys			2000s	Rock
I Got Mine	The Black Keys			2000s	Rock
Your Touch	The Black Keys			2000s	Rock
Animal	Neon Trees			2010s	Pop-Rock
Sins of My Youth	Neon Trees			2010s	Pop-Rock
1983	Neon Trees			2010s	Pop-Rock
Asylum	Disturbed			2010s	Metal
The Animal	Disturbed			2010s	Metal
Another Way to Die	Disturbed			2010s	Metal
Mountain Man	Crash Kings			2000s	Rock
Seasons	The Veer Union			2000s	Rock
Bury Me Alive	We Are The Fallen			2010s	Metal
What Was I Thinkin'	Dierks Bentley			2000s	Country
Hell on the Heart	Eric Church			2000s	Country
Women	Jamey Johnson			2000s	Country
Would You Go With Me	Josh Turner			2000s	Country
Days Go By	Keith Urban			2000s	Country
Lookin' for a Good Time	Lady Antebellum			2000s	Country
Rebound	Laura Bell Bundy			2010s	Country
Fancy	Reba McEntire			1990s	Country
It Happens	Sugarland			2000s	Country
Beautiful	Snoop Dogg			2000s	Urban
Drop It Like It's Hot	Snoop Dogg			2000s	Urban
Ridin' In My Chevy	Snoop Dogg			2000s	Urban
Sensual Seduction	Snoop Dogg			2000s	Urban
Snoop's Upside Ya Head	Snoop Dogg			1990s	Urban
Tha Shiznit	Snoop Dogg			1990s	Urban
That's Tha Homie	Snoop Dogg			2000s	Urban
Who Am I (What's My Name)?	Snoop Dogg			1990s	Urban
Holy Diver	Dio			1980s	Metal
Stand Up and Shout	Dio			1980s	Metal
Nirvana	Juliana Hatfield			1990s	Indie Rock
Irish Blood, English Heart	Morrissey			2000s	Indie Rock
Straight Lines	Silverchair			2000s	Alternative
This Charming Man	The Smiths			1980s	Indie Rock
Writing on the Walls	Underoath			2000s	Emo
Is This Love	Bob Marley and the Wailers			1980s	Other
No Woman, No Cry	Bob Marley and the Wailers			1980s	Other
Could You Be Loved	Bob Marley and the Wailers			1980s	Other
Three Little Birds	Bob Marley and the Wailers			1980s	Other
Buffalo Soldier	Bob Marley and the Wailers			1980s	Other
Stir It Up	Bob Marley and the Wailers			1980s	Other
One Love/People Get Ready	Bob Marley and the Wailers			1980s	Other
I Shot the Sheriff	Bob Marley and the Wailers			1980s	Other
Waiting in Vain	Bob Marley and the Wailers			1980s	Other
Redemption Song	Bob Marley and the Wailers			1980s	Other
Satisfy My Soul	Bob Marley and the Wailers			1980s	Other
Exodus	Bob Marley and the Wailers			1980s	Other
Jamming	Bob Marley and the Wailers			1980s	Other
Among The Living	Anthrax			1980s	Metal
I'm the Man	Anthrax			1980s	Metal
Indians	Anthrax			1980s	Metal
Madhouse (Live)	Anthrax			1980s	Metal
Metal Thrashing Mad (Live)	Anthrax			1980s	Metal
I'm Not Okay (I Promise)	My Chemical Romance			2000s	Emo
Welcome to the Black Parade	My Chemical Romance			2000s	Emo
Closer to the Edge	30 Seconds to Mars			2000s	Emo
Coffin Nails	Atreyu			2000s	Metal
Out of Line	Buckcherry			2000s	Rock
Listen to the Music	The Doobie Brothers			1970s	Classic Rock
Long Train Runnin'	The Doobie Brothers			1970s	Classic Rock
Driver 8	R.E.M.			1980s	Alternative
It's the End of the World as We Know It	R.E.M.			1980s	Alternative
Living Well Is the Best Revenge	R.E.M.			2000s	Alternative
Radio Free Europe	R.E.M.			1980s	Alternative
Stand	R.E.M.			1980s	Alternative
Superman	R.E.M.			1980s	Alternative
These Days	R.E.M.			1980s	Alternative
What's the Frequency, Kenneth?	R.E.M.			1990s	Alternative
Children of the Revolution	T. Rex			1970s	Classic Rock
